"variable"	"cell_area"	"Expected.genome.size"	"Expected_ploidy"
"432"	"yHRWh56"	96.656	136	"12N"
"433"	"yHRWh56"	72.201	136	"12N"
"434"	"yHRWh56"	82.553	136	"12N"
"435"	"yHRWh56"	68.319	136	"12N"
"436"	"yHRWh56"	60.556	136	"12N"
"437"	"yHRWh56"	78.541	136	"12N"
"438"	"yHRWh56"	81.129	136	"12N"
"439"	"yHRWh56"	106.232	136	"12N"
"440"	"yHRWh56"	86.046	136	"12N"
"441"	"yHRWh56"	81.259	136	"12N"
"442"	"yHRWh56"	74.401	136	"12N"
"443"	"yHRWh56"	71.813	136	"12N"
"444"	"yHRWh56"	74.918	136	"12N"
"445"	"yHRWh56"	90.446	136	"12N"
"446"	"yHRWh56"	61.72	136	"12N"
"447"	"yHRWh56"	60.685	136	"12N"
"448"	"yHRWh56"	71.942	136	"12N"
"449"	"yHRWh56"	147.508	136	"12N"
"450"	"yHRWh56"	91.998	136	"12N"
"451"	"yHRWh56"	66.508	136	"12N"
"452"	"yHRWh56"	65.214	136	"12N"
"453"	"yHRWh56"	87.211	136	"12N"
"454"	"yHRWh56"	104.808	136	"12N"
"455"	"yHRWh56"	66.767	136	"12N"
"456"	"yHRWh56"	75.695	136	"12N"
"457"	"yHRWh56"	84.364	136	"12N"
"458"	"yHRWh56"	63.144	136	"12N"
"459"	"yHRWh56"	73.883	136	"12N"
"460"	"yHRWh56"	83.588	136	"12N"
"461"	"yHRWh56"	80.353	136	"12N"
"462"	"yHRWh56"	82.811	136	"12N"
"463"	"yHRWh56"	84.752	136	"12N"
"464"	"yHRWh56"	67.284	136	"12N"
"465"	"yHRWh56"	82.553	136	"12N"
"466"	"yHRWh56"	86.823	136	"12N"
"467"	"yHRWh56"	25.879	136	"12N"
"468"	"yHRWh56"	NA	136	"12N"
"469"	"yHRWh7"	61.85	47	"4N"
"470"	"yHRWh7"	79.577	47	"4N"
"471"	"yHRWh7"	103.256	47	"4N"
"472"	"yHRWh7"	58.486	47	"4N"
"473"	"yHRWh7"	32.219	47	"4N"
"474"	"yHRWh7"	79.706	47	"4N"
"475"	"yHRWh7"	68.837	47	"4N"
"476"	"yHRWh7"	141.426	47	"4N"
"477"	"yHRWh7"	71.813	47	"4N"
"478"	"yHRWh7"	60.944	47	"4N"
"479"	"yHRWh7"	55.51	47	"4N"
"480"	"yHRWh7"	59.262	47	"4N"
"481"	"yHRWh7"	68.578	47	"4N"
"482"	"yHRWh7"	64.567	47	"4N"
"483"	"yHRWh7"	66.896	47	"4N"
"484"	"yHRWh7"	33.125	47	"4N"
"485"	"yHRWh7"	55.251	47	"4N"
"486"	"yHRWh7"	54.863	47	"4N"
"487"	"yHRWh7"	81.647	47	"4N"
"488"	"yHRWh7"	58.227	47	"4N"
"489"	"yHRWh7"	53.569	47	"4N"
"490"	"yHRWh7"	90.575	47	"4N"
"491"	"yHRWh7"	54.863	47	"4N"
"492"	"yHRWh7"	48.522	47	"4N"
"493"	"yHRWh7"	47.746	47	"4N"
"494"	"yHRWh7"	27.949	47	"4N"
"495"	"yHRWh7"	65.99	47	"4N"
"496"	"yHRWh7"	30.796	47	"4N"
"497"	"yHRWh7"	50.851	47	"4N"
"498"	"yHRWh7"	68.837	47	"4N"
"499"	"yHRWh7"	35.324	47	"4N"
"500"	"yHRWh7"	79.447	47	"4N"
"501"	"yHRWh7"	25.102	47	"4N"
"502"	"yHRWh7"	61.462	47	"4N"
"503"	"yHRWh7"	31.313	47	"4N"
"504"	"yHRWh7"	167.952	47	"4N"
"505"	"yHRWh7"	70.26	47	"4N"
"506"	"yHRWh7"	72.848	47	"4N"
"507"	"yHRWh7"	75.565	47	"4N"
"508"	"yHRWh7"	50.463	47	"4N"
"509"	"yHRWh7"	42.958	47	"4N"
"510"	"yHRWh7"	81	47	"4N"
"511"	"yHRWh7"	37.395	47	"4N"
"512"	"yHRWh7"	52.145	47	"4N"
"513"	"yHRWh7"	40.371	47	"4N"
"514"	"yHRWh7"	46.323	47	"4N"
"515"	"yHRWh7"	140.779	47	"4N"
"516"	"yHRWh7"	55.251	47	"4N"
"517"	"yHRWh7"	59.262	47	"4N"
"518"	"yHRWh7"	63.144	47	"4N"
"519"	"yHRWh7"	51.11	47	"4N"
"520"	"yHRWh7"	44.641	47	"4N"
"521"	"yHRWh7"	86.564	47	"4N"
"522"	"yHRWh7"	44.77	47	"4N"
"523"	"yHRWh7"	52.922	47	"4N"
"524"	"yHRWh7"	105.196	47	"4N"
"525"	"yHRWh7"	51.628	47	"4N"
"526"	"yHRWh7"	65.085	47	"4N"
"527"	"yHRWh7"	41.406	47	"4N"
"528"	"yHRWh7"	68.19	47	"4N"
"529"	"yHRWh7"	49.04	47	"4N"
"530"	"yHRWh7"	58.874	47	"4N"
"531"	"yHRWh7"	27.561	47	"4N"
"532"	"yHRWh7"	38.947	47	"4N"
"533"	"yHRWh7"	64.049	47	"4N"
"534"	"yHRWh7"	49.557	47	"4N"
"535"	"yHRWh7"	28.596	47	"4N"
"536"	"yHRWh7"	67.931	47	"4N"
"537"	"yHRWh7"	35.195	47	"4N"
"538"	"yHRWh7"	32.478	47	"4N"
"539"	"yHRWh7"	56.157	47	"4N"
"540"	"yHRWh7"	60.944	47	"4N"
"541"	"yHRWh7"	104.808	47	"4N"
"542"	"yHRWh7"	99.244	47	"4N"
"543"	"yHRWh7"	45.934	47	"4N"
"544"	"yHRWh7"	49.557	47	"4N"
"545"	"yHRWh7"	30.925	47	"4N"
"546"	"yHRWh7"	25.749	47	"4N"
